Company,Date,Current_Asset,Current_Liability,Inventory,Total_Liability,Total_Assets,EBIT,Interest_Expense,Accounts_Receivable,Sales_revenue,Cost_of_Sales,Net_Profit,NOI,Net_Cash_Flows_from_Operating_Activities,Capital_Eexpenditure,,ROE,,,,,Current Ratio,Quick Ratio,Debt to Assets Ratio,Interest Coverage Ratio,Inventory Turnover Ratio,Accounts Receivable Turnover Ratio,Gross Profit Margin,Net Profit Margin,Capitalization Rate,Operating Cash Flow to Profit Ratio
公司名称,报告时限,流动资产,流动负债,存货,总负债,总资产/资产总值,息税前利润,利息费用,平均应收账款（平均？）,销售收入(销售商品、提供劳务收到的现金/营业收入？),销售成本(销售费用),净利润,年净营运收入NOI,经营活动产生的现金流量净额,资本支出,,净资产收益率,,,,,,,,,,,,,,
HengDa,2022_Half_Year,1713921,2419613,745,2474087,1915903,-80968,5141.74,32834.32,89281,82169,-86169,-39364,4295,1666.31,,0.1570 ,,,,,0.708345095,0.708037194,1.291342516,-15.74719842,110.2939597,2.719136562,0.079658606,-0.96514376,-0.020545925,-0.049843911
HengDa,2021_Year,1893821,2521136,203,2580150,2107096,-698895,7084.3,2063.65,250013,268461,-686219,-581529,-51601,4638.66,,0.2066 ,,,,,0.751177644,0.751097124,1.224505196,-98.65406603,1322.46798,121.1508735,-0.073788163,-2.744733274,-0.275986002,0.075196111
HengDa,2021_Half_Year,1952593,1572759,357,1966534,2377575,17914,918.29,6481.71,222690,193855,10499,25690,-14831,1816.97,,0.1872 ,,,,,1.241508076,1.241281086,0.827117546,19.50799856,543.0112045,34.3566744,0.129484934,0.047146257,0.010805127,-1.412610725
HengDa,2020_Year,1637799,1221511,358,1950728,2301159,68245,1874.82,21669.9,507248,384643,31400,69712,110063,2799.38,,0.2043 ,,,,,1.340797586,1.340504506,0.847715434,36.40082781,1074.421788,23.40795297,0.241706227,0.061902659,0.0302943,3.505191083
HengDa,2020_Half_Year,1928043,1476641,473,1982642,2299097,36825,1070.8,7169.28,266631,199949,14761,47379,3613,851.64,,0.1677 ,,,,,1.305695155,1.305374834,0.86235683,34.39017557,422.7251586,37.19076393,0.25009095,0.055361155,0.020607656,0.244766615
DaYueCheng,2023_Third_Quarter,152720.365,93048.39942,98908.66764,160513.2139,208198.0072,1031.905744,2164.588013,376.4141136,28748.33396,922.4475104,-74.94144654,880.71,1261.4,367.76,,-0.0012,,,,,1.641300291,0.578319431,0.770964219,0.476721546,0.009326256,76.37421904,0.96791301,-0.00260681,0.004230156,-16.83180747
DaYueCheng,2023_Half_Year,149010.0443,91840.20848,95081.10987,158622.6333,205969.2805,1343.874019,1454.134803,384.1943406,21167.66948,611.3552402,540.4717658,1149.98,3370.03,365.85,,0.0116 ,,,,,1.622492443,0.587203963,0.770127627,0.924174303,0.006429829,55.09625531,0.971118444,0.025532889,0.00558326,6.235348844
DaYueCheng,2023_First_Quarter,149220.1833,91959.63908,94804.64004,91959.63908,206133.5491,877.060672,701.7427829,381.2939503,11183.19569,254.1376138,612.3929,1048.38,2748.3,404.86,,0.0130 ,,,,,1.622670389,0.591732893,0.446116799,1.249832123,0.002680645,29.3295912,0.977275045,0.054760099,0.005085926,4.487805133
DaYueCheng,2022_Year,157707.4749,103617.7461,95704.89932,166927.9499,214432.2678,-431.4625554,2622.721752,317.4159515,39578.6918,1554.51596,-2222.645436,5012.09,2710.45,1571.07,,-0.0454,,,,,1.522012211,0.59837796,0.778464695,-0.164509466,0.016242804,124.690305,0.960723412,-0.056157628,0.023373768,-1.219470257
DaYueCheng,2022_Third_Quarter,158552.8852,105145.5127,103524.2261,163733.084,215103.6264,2428.050024,1871.887044,561.299191,24857.97865,1001.840794,1137.55874,781.2,2943.97,374.6,,0.0225 ,,,,,1.507937725,0.52335718,0.761182351,1.297113536,0.009677356,44.28650361,0.959697415,0.045762319,0.003631738,2.587971853
DaYueCheng,2022_Half_Year,161832.3161,166117.076,107139.214,166117.076,218030.2982,2084.467147,1203.427389,471.3107643,15001.30236,593.1547635,1058.091149,998.68,-23.9,215.87,,0.0206 ,,,,,0.974206385,0.32924431,0.761899045,1.73210878,0.005536299,31.82889824,0.960459782,0.070533286,0.004580464,-0.022587846
DaYueCheng,2022_First_Quarter,155300.6301,95720.38127,100571.7174,157378.8998,210493.9993,1487.09085,594.6180915,380.7119228,8181.059587,262.904682,791.5020576,2005.23,-336.31,536.21,,0.0150 ,,,,,1.622440571,0.571758197,0.747664543,2.500917599,0.002614102,21.48884523,0.967864226,0.096748111,0.009526305,-0.42490098
DaYueCheng,2021_Year,157562.4061,103302.5362,102003.378,160635.9267,212727.1045,2920.681573,2175.676772,301.4771627,42614.49736,1420.916167,767.4240499,7095,-8464.13,2885.1,,0.0155 ,,,,,1.525252059,0.537828306,0.755126748,1.342424395,0.013930089,141.3523233,0.966656508,0.018008521,0.03335259,-11.02927384
DaYueCheng,2021_Third_Quarter,169920.0115,108248.2048,109355.6184,172396.2811,224098.6809,3101.229791,1507.70058,371.8118858,22128.78313,730.5863094,1840.352473,1571.19,-731.43,310.72,,0.0138 ,,,,,1.569725906,0.559495588,0.769287353,2.056926841,0.00668083,59.51607245,0.966984795,0.083165552,0.007011152,-0.39744017
DaYueCheng,2021_Half_Year,161082.6397,105639.249,101864.4147,164433.6146,213921.8883,1931.088378,966.6433863,434.5903559,14248.38189,430.5940506,1161.482135,1266.04,-6010.92,1446.59,,0.0153 ,,,,,1.524837039,0.560570295,0.768661945,1.997725744,0.004227129,32.78577561,0.969779442,0.081516775,0.005918235,-5.175215202
DaYueCheng,2021_First_Quarter,153564.167,97345.56725,90097.4845,158432.3042,204596.9596,894.0795292,486.9937977,381.6966618,6891.125245,202.9080226,489.8376412,1282,-1782,270,,0.0154 ,,,,,1.577515766,0.651973011,0.774362945,1.835915639,0.002252094,18.05393113,0.970555168,0.071082388,0.006265978,-3.637940106
DaYueCheng,2020_Year,149264.0473,97963.66732,87457.16057,154225.1228,199871.388,3124.812506,2370.874475,319.1105549,38445.28426,1093.31333,1122.703856,6475.61,9814.11,1622.37,,0.0184 ,,,,,1.523667411,0.630916425,0.771621813,1.317999978,0.01250113,120.4763793,0.971561835,0.029202642,0.032398884,8.74149487
DaYueCheng,2020_Third_Quarter,148973.9063,87241.0923,85064.26569,154165.6671,198066.4027,897.3902318,599.5892176,523.9647602,5617.253329,290.8545363,503.6506691,1230,6198,220,,0.0224 ,,,,,1.707611659,0.732563508,0.778353446,1.496675066,0.003419233,10.72067008,0.948221218,0.089661377,0.006210039,12.30614865
DaYueCheng,2020_Half_Year,148254.3762,65032.40774,81395.14344,154899.6128,197250.3771,1922.240511,1922.240511,529.7565199,12186.84054,1261.450951,964.4675082,1804,2717,397,,0.0156 ,,,,,2.279699943,1.028090995,0.785294381,1,0.015497865,23.00460698,0.896490731,0.079140078,0.009145737,2.817098531
DaYueCheng,2020_First_Quarter,142023.06,83269.38798,75057.10158,149427.8446,192228.9316,919.8710078,664.6520363,427.2786312,5458.737756,134.4719103,461.8168405,1422,-2538,310,,0.0188 ,,,,,1.705585491,0.804208606,0.777343157,1.383988851,0.001791595,12.77559269,0.97536575,0.084601397,0.00739743,-5.495685254
NanDuWuYe,2023_Third_Quarter,1817.34644,1322.239376,16.31343861,1385.425271,2496.009901,157.1775609,4.49773918,684.0879236,1304.094744,17.34976748,122.399367,25.55,-35.53847531,1.27,,0.1113 ,,,,,1.374445863,1.362108128,0.555056,34.94590383,1.063526084,1.906326218,0.98669593,0.093857726,0.010236338,-0.290348522
NanDuWuYe,2023_Half_Year,1823.132794,1339.059791,14.45403554,1407.198472,2493.620042,128.0610189,2.11983962,641.1927962,930.7701378,11.87474495,98.0763016,54.74,-35.53847531,1.67,,0.0909 ,,,,,1.361502157,1.35070799,0.564319523,60.4107111,0.821552218,1.451622887,0.987242022,0.10537113,0.021952021,-0.362355378
